date;id_pond;id_pair;id_male;id_male_2;id_focal_outcome;fresh_weight;wing_length;abdomen_dry_weight;thorax_dry_weight;total_dry_weight;abdomen_fat_weight;thorax_fat_weight;total_fat_weight;hue_reflec;chroma_reflec;brightness_reflec;hue_transm;chroma_transm;brightness_transm
01/nov;LB;M2M3;M2;M245597;1;0,136;1,884;0,00623;0,01236;0,01859;0,00224;0,00122;0,00346;0,1;0,25;0,01;0,28;0,29;0,58
01/nov;LB;M2M3;M3;M345597;0;0,085;1,928;0,00497;0,01303;0,018;0,00127;0,00183;0,0031;NA;NA;NA;NA;NA;NA
07/nov;LB;M18M8;M18;M1845603;1;0,087;2,063;0,00711;0,01682;0,02393;0,00291;0,0045;0,00741;0,06;0,2;0,01;0,26;0,28;0,59
07/nov;LB;M18M8;M8;M845603;0;0,1;2,002;0,00831;0,0187;0,02701;0,00337;0,00242;0,00579;0,06;0,31;0,01;0,25;0,29;0,58
08/nov;LB;M20M10;M10;M1045604;0;0,07;1,909;0,00498;0,01101;0,01599;0,00168;0,00125;0,00293;0,057;0,26;0,008;0,24;0,29;0,57
08/nov;LB;M20M10;M20;M2045604;1;0,121;2,01;0,0075;0,01656;0,02406;0,00395;0,00419;0,00814;0,1;0,18;0,1;0,25;0,3;0,58
16/nov;LB;M27M25;M25;M2545612;0;0,069;1,864;0,00438;0,00982;0,0142;NA;0,00061;NA;0,05;0,19;0,01;0,17;0,3;0,51
16/nov;LB;M27M25;M27;M2745612;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21/nov;LB;M30M32;M30;M3045617;1;0,078;1,954;0,00604;0,01327;0,01931;0,00209;0,00161;0,0037;0,09;0,19;0,02;0,26;0,28;0,61
21/nov;LB;M30M32;M32;M3245617;0;NA;2,025;NA;NA;NA;NA;NA;NA;NA;2,025;NA;NA;NA;NA
30/nov;LB;M34M35;M34;M3445626;1;0,087;1,98;0,00602;0,01658;0,0226;0,00182;0,00119;0,00301;0,1;0,17;0,02;0,23;0,31;0,55
30/nov;LB;M34M35;M35;M3545626;0;0,065;1,741;0,00508;0,00962;0,0147;0,00199;0,00112;0,00311;0,1;0,17;0,01;0,26;0,28;0,59
14/dez;LB;M36M41;M36;M3645640;1;0,073;1,924;0,00349;0,01278;0,01627;0,00014;0,00126;0,0014;0,04;0,19;0,01;0,24;0,28;0,56
14/dez;LB;M36M41;M41;M4145640;0;0,07;1,886;0,00546;0,01185;0,01731;0,0017;0,00114;0,00284;0,11;0,18;0,01;0,22;0,29;0,57
