ID_transition;preceding_behavior;subsequent_behaviour;ID_contest
transition 74;ho;ebf;M48vsM52_T9_LB
transition 75;ebf;oos;M48vsM52_T9_LB
transition 76;oos;ebf;M48vsM52_T9_LB
transition 77;ebf;pa;M48vsM52_T9_LB
transition 78;pa;ebf;M48vsM52_T9_LB
transition 79;ebf;ebf;M48vsM52_T9_LB
transition 80;ebf;pa;M48vsM52_T9_LB
transition 81;pa;ro;M48vsM52_T9_LB
transition 82;ro;ebf;M48vsM52_T9_LB
transition 83;ebf;cc;M48vsM52_T9_LB
transition 84;cc;ebf;M48vsM52_T9_LB
transition 85;ebf;cc;M48vsM52_T9_LB
transition 86;cc;ebf;M48vsM52_T9_LB
transition 87;ebf;cc;M48vsM52_T9_LB
transition 88;cc;ebf;M48vsM52_T9_LB
transition 89;ebf;pa;M48vsM52_T9_LB
transition 90;pa;ebf;M48vsM52_T9_LB
transition 91;ebf;cc;M48vsM52_T9_LB
transition 92;cc;ebf;M48vsM52_T9_LB
transition 93;ebf;pa;M48vsM52_T9_LB
transition 94;pa;ebf;M48vsM52_T9_LB
transition 95;ebf;ec;M48vsM52_T9_LB
transition 0;ia;bf;M50vsM30_T7_LB
transition 1;bf;ho;M50vsM30_T7_LB
transition 2;ho;ro;M50vsM30_T7_LB
transition 3;ro;bf;M50vsM30_T7_LB
transition 4;bf;ho;M50vsM30_T7_LB
transition 5;ho;ro;M50vsM30_T7_LB
transition 6;ro;bf;M50vsM30_T7_LB
transition 7;bf;ho;M50vsM30_T7_LB
transition 8;ho;ro;M50vsM30_T7_LB
transition 9;ro;ebf;M50vsM30_T7_LB
transition 10;ebf;ho;M50vsM30_T7_LB
transition 11;ho;ro;M50vsM30_T7_LB
transition 12;ro;ebf;M50vsM30_T7_LB
transition 13;ebf;ec;M50vsM30_T7_LB
transition 0;ia;ro;M79vsM116_T22_LA
transition 1;ro;osp;M79vsM116_T22_LA
transition 2;osp;ro;M79vsM116_T22_LA
transition 3;ro;osp;M79vsM116_T22_LA
transition 4;osp;bf;M79vsM116_T22_LA
transition 5;bf;bo;M79vsM116_T22_LA
transition 6;bo;ho;M79vsM116_T22_LA
transition 7;ho;osp;M79vsM116_T22_LA
transition 8;osp;bf;M79vsM116_T22_LA
transition 9;bf;pa;M79vsM116_T22_LA
transition 10;pa;bf;M79vsM116_T22_LA
transition 11;bf;cc;M79vsM116_T22_LA
transition 12;cc;bf;M79vsM116_T22_LA
transition 13;bf;ro;M79vsM116_T22_LA
transition 14;ro;bf;M79vsM116_T22_LA
transition 15;bf;ebf;M79vsM116_T22_LA
transition 16;ebf;ro;M79vsM116_T22_LA
transition 17;ro;pa;M79vsM116_T22_LA
transition 18;pa;ec;M79vsM116_T22_LA
transition 0;ia;osp;M79vsM93_T22_LA
transition 1;osp;bo;M79vsM93_T22_LA
transition 2;bo;ro;M79vsM93_T22_LA
transition 3;ro;bo;M79vsM93_T22_LA
transition 4;bo;ro;M79vsM93_T22_LA
transition 5;ro;bf;M79vsM93_T22_LA
transition 6;bf;ro;M79vsM93_T22_LA
transition 7;ro;bf;M79vsM93_T22_LA
transition 8;bf;ro;M79vsM93_T22_LA
transition 9;ro;bf;M79vsM93_T22_LA
transition 10;bf;ro;M79vsM93_T22_LA
transition 11;ro;bf;M79vsM93_T22_LA
transition 12;bf;ec;M79vsM93_T22_LA
transition 0;ia;ro;M81vsM80_T10_LA
transition 1;ro;pa;M81vsM80_T10_LA
transition 2;pa;ho;M81vsM80_T10_LA
transition 3;ho;bf;M81vsM80_T10_LA
transition 4;bf;pa;M81vsM80_T10_LA
transition 5;pa;bf;M81vsM80_T10_LA
transition 6;bf;ebf;M81vsM80_T10_LA
transition 7;ebf;bf;M81vsM80_T10_LA
transition 8;bf;ro;M81vsM80_T10_LA
transition 9;ro;bf;M81vsM80_T10_LA
transition 10;bf;ebf;M81vsM80_T10_LA
transition 11;ebf;pa;M81vsM80_T10_LA
transition 12;pa;bf;M81vsM80_T10_LA
transition 13;bf;ro;M81vsM80_T10_LA
transition 14;ro;bf;M81vsM80_T10_LA
transition 15;bf;pa;M81vsM80_T10_LA
transition 16;pa;bf;M81vsM80_T10_LA
transition 17;bf;pa;M81vsM80_T10_LA
transition 18;pa;bf;M81vsM80_T10_LA
transition 19;bf;cc;M81vsM80_T10_LA
transition 20;cc;bf;M81vsM80_T10_LA
transition 21;bf;pa;M81vsM80_T10_LA
transition 22;pa;ebf;M81vsM80_T10_LA
transition 23;ebf;pa;M81vsM80_T10_LA
transition 24;pa;ebf;M81vsM80_T10_LA
transition 25;ebf;oos;M81vsM80_T10_LA
transition 26;oos;pa;M81vsM80_T10_LA
transition 27;pa;ebf;M81vsM80_T10_LA
transition 28;ebf;pa;M81vsM80_T10_LA
transition 29;pa;ebf;M81vsM80_T10_LA
transition 30;ebf;ec;M81vsM80_T10_LA
